timestamp,open_btc,high_btc,low_btc,close_btc,RSI_btc,MACD_btc,MA_20_btc,Trendline_btc,volume_btc,open_xau,high_xau,low_xau,close_xau,RSI_xau,MACD_xau,MA_20_xau,Trendline_xau,volume_xau
2024-03-15 00:00:00+00:00,71387.0,72415.0,65569.0,69516.0,66.02564,5102.36215,65160.2,65160.2,344271740.34129,2162.22,2172.71,2155.17,2156.08,67.9614,37.93202,2095.6215,2095.6215,58694
2024-03-18 00:00:00+00:00,68344.0,68902.0,66585.0,67613.0,58.21361,3832.78795,67055.15,67055.15,195514359.86056,2154.24,2163.58,2146.08,2160.1,68.73581,36.92053,2102.731,2102.731,53688
2024-03-19 00:00:00+00:00,67603.0,68123.0,61447.0,61897.0,46.64277,3066.72038,67024.4,67024.4,329176030.07326,2159.78,2162.77,2147.14,2157.57,67.62791,35.50548,2109.4225,2109.4225,59381
2024-03-20 00:00:00+00:00,61919.0,68168.0,60760.0,67872.0,56.39873,2908.21478,67359.95,67359.95,338674804.47026,2157.54,2188.77,2149.61,2185.57,72.84462,36.22582,2117.419,2117.419,62699
2024-03-21 00:00:00+00:00,67842.0,68249.0,64537.0,65485.0,52.28572,2560.47148,67512.0,67512.0,192251157.21232,2187.74,2222.65,2166.43,2181.06,70.86376,36.01758,2125.2505,2125.2505,90892
2024-03-22 00:00:00+00:00,65477.0,66631.0,62332.0,63807.0,49.55009,2124.98632,67600.25,67600.25,154448567.41817,2182.02,2186.03,2157.09,2165.52,64.36861,34.20432,2131.742,2131.742,78823
2024-03-25 00:00:00+00:00,67208.0,71213.0,66407.0,69898.0,58.89358,1899.84307,67889.75,67889.75,213132400.47152,2167.75,2181.26,2163.5,2171.19,65.60726,32.84619,2138.76,2138.76,70299
2024-03-26 00:00:00+00:00,69889.0,71572.0,69257.0,69997.0,59.03218,2015.32271,68083.6,68083.6,173588919.69612,2171.42,2200.03,2167.57,2177.77,67.03925,31.93272,2146.1375,2146.1375,63728
2024-03-27 00:00:00+00:00,69999.0,71754.0,68362.0,69421.0,57.81088,2036.88285,68207.6,68207.6,160110527.74308,2178.37,2197.55,2172.87,2194.74,70.45579,32.20685,2154.1315,2154.1315,64431
2024-03-28 00:00:00+00:00,69406.0,71587.0,68863.0,70803.0,59.95173,2140.80738,68333.5,68333.5,151953808.58132,2191.31,2236.18,2187.27,2232.62,76.349,35.07637,2163.575,2163.575,79290
2024-04-01 00:00:00+00:00,71296.0,71296.0,68073.0,69699.0,56.21169,2029.82074,68304.5,68304.5,141681724.49146,2240.87,2265.61,2228.51,2249.68,78.4353,38.28575,2171.8935,2171.8935,83935
2024-04-02 00:00:00+00:00,69694.0,69706.0,64545.0,65469.0,47.35515,1590.17439,67921.9,67921.9,231211665.69629,2249.34,2281.01,2246.67,2280.02,81.55202,42.7842,2180.1475,2180.1475,88347
2024-04-03 00:00:00+00:00,65471.0,66942.0,64511.0,65988.0,48.42879,1269.00218,67652.75,67652.75,123801584.96912,2281.33,2300.01,2265.42,2300.01,83.26789,47.4157,2188.7695,2188.7695,94706
2024-04-04 00:00:00+00:00,65984.0,69328.0,65100.0,68538.0,53.45176,1206.32878,67603.85,67603.85,159855793.04569,2299.02,2305.56,2279.95,2290.37,79.43103,49.73502,2195.876,2195.876,84214
2024-04-05 00:00:00+00:00,68522.0,68767.0,65999.0,67857.0,51.99527,1089.15356,67734.3,67734.3,149352870.89638,2291.42,2330.44,2267.75,2328.09,82.77548,53.99437,2204.311,2204.311,91337
2024-04-08 00:00:00+00:00,69336.0,72756.0,69073.0,71613.0,59.27782,1250.64465,68335.6,68335.6,160984287.37616,2326.01,2353.84,2302.9,2338.46,83.56659,57.54338,2212.309,2212.309,108686
2024-04-09 00:00:00+00:00,71623.0,71748.0,68217.0,69135.0,53.25316,1174.69585,68398.75,68398.75,160398178.7992,2337.44,2365.28,2337.04,2352.89,84.62481,60.8193,2220.8255,2220.8255,104273
2024-04-10 00:00:00+00:00,69100.0,71150.0,67482.0,70630.0,56.14881,1221.06421,68656.0,68656.0,176173585.46343,2352.41,2360.03,2319.43,2331.79,76.83364,61.00961,2229.4865,2229.4865,100677
2024-04-11 00:00:00+00:00,70638.0,71287.0,69555.0,70015.0,54.64914,1194.41761,68966.4,68966.4,138359028.994,2333.8,2377.64,2325.85,2374.59,80.71267,63.87769,2239.491,2239.491,102200
2024-04-12 00:00:00+00:00,70019.0,71236.0,65230.0,67150.0,48.19168,931.38204,69123.85,69123.85,191735414.30794,2373.85,2431.44,2333.86,2344.58,71.65311,63.00285,2248.635,2248.635,127474
2024-04-15 00:00:00+00:00,65748.0,66900.0,62340.0,63438.0,42.08879,-135.55898,68431.75,68431.75,166176441.71916,2359.72,2387.51,2323.98,2381.16,75.29344,64.51752,2259.889,2259.889,113850
2024-04-16 00:00:00+00:00,63467.0,64376.0,61654.0,63830.0,43.01519,-392.5353,68152.2,68152.2,171400981.17832,2382.29,2398.18,2362.99,2378.66,74.58844,64.76955,2270.817,2270.817,114166
